,Country,Year,Precipitation,Temperature,Occurrences,Entity,Urban (%),Rural (%),HDI,PopTotal,Education,Dengue,Y,X
0,ABW,1991,38.88296833333334,28.078008333333333,0.0,Aruba,50.303999999999995,49.695999,0.0,64.622,0.0,0.0,12.52,-70.03
1,AFG,1991,36.931453333333344,13.118033333333331,0.0,Afghanistan,21.266,78.734001,0.0,12993.657,0.133,0.0,34.53,69.17
2,AGO,1991,83.8449475,21.652199999999997,0.0,Angola,38.58,61.419998,0.0,12553.446000000002,0.0,0.0,-8.81,13.23
3,AIA,1991,113.63115833333335,26.108291666666663,0.0,Anguilla,100.0,0.0,0.0,8.666,0.0,0.0,18.23,-63.04
4,ALB,1991,77.58703333333334,11.038935,0.0,Albania,36.7,63.299999,0.626,3275.4309999999996,0.589,0.0,40.15,19.79
5,ARG,1991,52.79295833333333,14.416430833333335,0.0,Argentina,87.32799999999999,12.672,0.713,33193.918,0.632,0.0,-26.41,-54.58
6,ASM,1991,263.30791666666664,26.87996666666666,0.0,American Samoa,81.88600000000001,18.114,0.0,48.375,0.0,0.0,-14.27,-170.58
7,ATG,1991,183.33971666666665,26.413641666666663,0.0,Antigua and Barbuda,35.465,64.535004,0.0,67.307,0.0,0.0,17.15,-61.8
8,AUS,1991,37.91295333333333,22.172074999999996,31.0,Australia,85.40299999999999,14.597000000000001,0.867,17271.874,0.8740000000000001,1.0,-9.42,142.54
9,AUT,1991,94.34331666666668,6.151395000000001,0.0,Austria,62.68899999999999,37.311001,0.8,7772.701,0.6829999999999999,0.0,47.14,16.26
10,BEL,1991,64.01754166666667,9.659015833333333,0.0,Belgium,96.461,3.5389999999999997,0.81,10039.445,0.708,0.0,51.21,4.12
11,BEN,1991,101.09564916666666,27.409108333333332,0.0,Benin,35.247,64.752998,0.354,5149.499,0.20800000000000002,0.0,6.48,2.63
12,BFA,1991,70.22452333333332,28.33005,0.0,Burkina Faso,14.07,85.93,0.0,9050.084,0.0,0.0,12.42,-3.17
13,BGD,1991,224.33851666666666,24.931258333333332,0.0,Bangladesh,20.257,79.74299599999999,0.39399999999999996,108727.43199999999,0.26,0.0,24.13,90.29
